Título,Consola,Año,Género,Distribuidora,Ventas NA(M),Ventas EU(M),Ventas JP(M),Ventas otras regiones,Ventas globales,Nivel de ventas globales
Digimon Digital Card Battle,PS,1999,Strategy,Namco Bandai Games,0.06,0.04,0.0,0.01,0.11,Bajo
Toukiden 2,PSV,2016,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,Bajo
Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,0.04,0.01,0.04,0.02,0.11,Bajo
Kuroko's Basketball: Miracle Game,PSP,2012,Sports,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Dreamer Series: Top Model,DS,2009,Simulation,DreamCatcher Interactive,0.1,0.0,0.0,0.01,0.11,Bajo
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,PS2,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.06,0.04,0.0,0.01,0.11,Bajo
Yuusha no Kuse ni Namaikida Or 3D,PSP,2010,Strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
The First Templar,X360,2011,Action,Kalypso Media,0.06,0.04,0.0,0.01,0.11,Bajo
X-Men: The Official Game,DS,2006,Action,Activision,0.1,0.0,0.0,0.01,0.11,Bajo
Dead to Rights II,XB,2005,Shooter,Electronic Arts,0.08,0.02,0.0,0.0,0.11,Bajo
Petz Fashion: Dogz & Catz,DS,2009,Simulation,Ubisoft,0.1,0.0,0.0,0.01,0.11,Bajo
Project: Horned Owl,PS,1995,Shooter,Sony Computer Entertainment,0.03,0.02,0.05,0.01,0.11,Bajo
Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Child of Light,PSV,2014,Role-Playing,Ubisoft,0.0,0.07,0.02,0.02,0.11,Bajo
SingStar Guitar,PS3,2010,Misc,Sony Computer Entertainment,0.0,0.08,0.0,0.02,0.11,Bajo
Dragon Ball Z Super Gokuden: Kakusei-Hen,SNES,1995,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Bajo
Help Wanted: 50 Wacky Jobs,Wii,2008,Simulation,Hudson Soft,0.06,0.04,0.0,0.01,0.11,Bajo
Busou Shinki: Battle Masters Mk. 2,PSP,2011,Action,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0.0,0.0,0.11,Bajo
Fairy Tail: Portable Guild,PSP,2010,Fighting,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,Bajo
Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011,Sports,Tecmo Koei,0.05,0.04,0.01,0.01,0.11,Bajo
SimCity 2000,GBA,2003,Simulation,Zoo Digital Publishing,0.08,0.03,0.0,0.0,0.11,Bajo
Brunswick Circuit Pro Bowling 2,PS,2000,Sports,THQ,0.06,0.04,0.0,0.01,0.11,Bajo
D,PS,1995,Adventure,Acclaim Entertainment,0.0,0.0,0.1,0.01,0.11,Bajo
Winning Eleven: Pro Evolution Soccer 2007,X360,2006,Sports,Konami Digital Entertainment,0.09,0.0,0.0,0.01,0.1,Bajo
Ennichi no Tatsujin,Wii,2006,Misc,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Squinkies 2: Adventure Mall Surprize!,DS,2011,Platform,Activision,0.1,0.0,0.0,0.01,0.1,Bajo
Wizardry VI: Bane of the Cosmic Forge,SNES,1995,Role-Playing,ASCII Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Power Pocket Koushien,DS,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Gravity Games Bike: Street Vert Dirt,PS2,2002,Sports,Midway Games,0.05,0.04,0.0,0.01,0.1,Bajo
Contact,DS,2006,Role-Playing,Rising Star Games,0.07,0.0,0.03,0.01,0.1,Bajo
Pro Yaky? Spirits 2010,PS2,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Princess Debut,DS,2008,Misc,Cave,0.1,0.0,0.0,0.01,0.1,Bajo
My First Dollhouse,DS,2010,Misc,505 Games,0.1,0.0,0.0,0.01,0.1,Bajo
Cloudy With a Chance of Meatballs,PS3,2009,Platform,Ubisoft,0.09,0.01,0.0,0.01,0.1,Bajo
Family Party: 30 Great Games,Wii,2008,Misc,D3Publisher,0.09,0.01,0.0,0.01,0.1,Bajo
Top Spin,PS2,2005,Sports,Take-Two Interactive,0.05,0.04,0.0,0.01,0.1,Bajo
Derby Stallion P,PSP,2006,Sports,Enterbrain,0.0,0.0,0.1,0.0,0.1,Bajo
Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012,Action,Spike,0.0,0.0,0.1,0.0,0.1,Bajo
UFC: Tapout 2,XB,2003,Fighting,Capcom,0.08,0.02,0.0,0.0,0.1,Bajo
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0.0,0.02,0.1,Bajo
Kamen Rider: Battride War II,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,DS,2007,Simulation,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Thrillville: Off the Rails,PSP,2007,Strategy,LucasArts,0.09,0.0,0.0,0.01,0.1,Bajo
Imagine: Soccer Captain,DS,2009,Sports,Ubisoft,0.1,0.0,0.0,0.01,0.1,Bajo
Jikkyou Powerful Pro Yakyuu 10,GC,2003,Sports,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Vexx,XB,2003,Platform,Acclaim Entertainment,0.08,0.02,0.0,0.0,0.1,Bajo
F1 Career Challenge,PS2,2003,Racing,Electronic Arts,0.05,0.04,0.0,0.01,0.1,Bajo
Taiko no Tatsujin: V Version,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Pariah,XB,2005,Action,Hip Interactive,0.08,0.02,0.0,0.0,0.1,Bajo
Cabela's Outdoor Adventures,XB,2005,Sports,Zoo Digital Publishing,0.08,0.02,0.0,0.0,0.1,Bajo
Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,Bajo
Metal Slug 3,XB,2004,Shooter,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1,Bajo
The Smurfs 2,Wii,2013,Platform,Ubisoft,0.0,0.09,0.0,0.01,0.1,Bajo
Motocross Mania 3,PS2,2004,Racing,Take-Two Interactive,0.05,0.04,0.0,0.01,0.1,Bajo
Fatal Frame 2: Wii Edition,Wii,2012,Action,Nintendo,0.0,0.0,0.1,0.0,0.1,Bajo
Dancing on Ice,Wii,2010,Sports,Ghostlight,0.0,0.09,0.0,0.01,0.1,Bajo
Pro Yakyuu Famista DS 2009,DS,2009,Sports,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Banjo-Pilot,GBA,2005,Racing,THQ,0.07,0.03,0.0,0.0,0.1,Bajo
Family Feud: 2012 Edition,X360,2011,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1,Bajo
Gallop Racer 2006,PS2,2005,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1,Bajo
Army Corps of Hell,PSV,2011,Action,Square Enix,0.05,0.04,0.0,0.02,0.1,Bajo
Frogger: Ancient Shadow,PS2,2005,Platform,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.1,Bajo
Digimon Story: Lost Evolution,DS,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Exit DS,DS,2008,Puzzle,Square Enix,0.09,0.0,0.01,0.01,0.1,Bajo
Ski-Doo Snowmobile Challenge,PS3,2009,Racing,PQube,0.1,0.0,0.0,0.01,0.1,Bajo
Universe at War: Earth Assault,X360,2008,Action,Sega,0.09,0.01,0.0,0.01,0.1,Bajo
Despicable Me: The Game,PS2,2010,Platform,D3Publisher,0.05,0.04,0.0,0.01,0.1,Bajo
Metal Arms: Glitch in the System,GC,2003,Shooter,Vivendi Games,0.08,0.02,0.0,0.0,0.1,Bajo
The Whispered World,PC,2009,Adventure,Deep Silver,0.0,0.08,0.0,0.02,0.1,Bajo
Tom Clancy's Splinter Cell: Chaos Theory,GC,2005,Action,Ubisoft,0.08,0.02,0.0,0.0,0.1,Bajo
Learn Chess,DS,2009,Misc,DreamCatcher Interactive,0.1,0.0,0.0,0.01,0.1,Bajo
Escape From Monkey Island,PS2,2001,Adventure,LucasArts,0.05,0.04,0.0,0.01,0.1,Bajo
Leisure Suit Larry: Box Office Bust,PS3,2009,Adventure,Codemasters,0.06,0.03,0.0,0.01,0.1,Bajo
The Wolf Among Us,PS3,2014,Adventure,Telltale Games,0.05,0.03,0.0,0.02,0.1,Bajo
Mickey's Speedway USA (weekly JP sales),N64,2000,Racing,Nintendo,0.0,0.0,0.1,0.0,0.1,Bajo
Who Wants to Be a Millionaire: 3rd Edition,Wii,2010,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1,Bajo
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!,PSP,2006,Adventure,Sony Computer Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Miami Law,DS,2009,Adventure,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.1,Bajo
Macross 30: Ginga o Tsunagu Utagoe,PS3,2013,Shooter,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Kidou Senshi Gundam UC,PS3,2012,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,2009,Racing,Konami Digital Entertainment,0.09,0.01,0.0,0.01,0.1,Bajo
Nicktoons: MLB,DS,2011,Sports,Take-Two Interactive,0.1,0.0,0.0,0.01,0.1,Bajo
Gretzky NHL,PSP,2005,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.01,0.1,Bajo
Corvette Evolution GT,DS,2008,Racing,Black Bean Games,0.1,0.0,0.0,0.01,0.1,Bajo
May's Mystery: Forbidden Memories,DS,2011,Puzzle,Mastertronic,0.05,0.04,0.0,0.01,0.1,Bajo
PictoImage,DS,2007,Puzzle,Sega,0.1,0.0,0.0,0.01,0.1,Bajo
Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,Atlus,0.0,0.0,0.1,0.0,0.1,Bajo
Ridge Racer 2,PSP,2006,Racing,Sony Computer Entertainment,0.0,0.03,0.07,0.01,0.1,Bajo
Momotarou Dentetsu 16,Wii,2007,Misc,Hudson Soft,0.0,0.0,0.1,0.0,0.1,Bajo
Igor: The Game,Wii,2008,Adventure,CDV Software Entertainment,0.09,0.0,0.0,0.01,0.1,Bajo
Dropship: United Peace Force,PS2,2002,Simulation,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.1,Bajo
Road Rash: Jailbreak,GBA,2003,Racing,Zoo Digital Publishing,0.07,0.03,0.0,0.0,0.1,Bajo
Rome: Total War,PC,2004,Strategy,Activision,0.0,0.08,0.0,0.02,0.1,Bajo
Green Lantern: Rise of the Manhunters,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.06,0.04,0.0,0.01,0.1,Bajo
Castlevania: Lords of Shadow 2,X360,2014,Action,Konami Digital Entertainment,0.02,0.07,0.0,0.01,0.1,Bajo
Lucha Libre AAA: Heroes del Ring,PS3,2010,Fighting,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.1,Bajo
Syberia,XB,2003,Action,Microids,0.08,0.02,0.0,0.0,0.1,Bajo
G1 Jockey 3,PS2,2002,Sports,THQ,0.02,0.01,0.07,0.0,0.1,Bajo
Shrek: Forever After,X360,2010,Platform,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Revolution X,PS,1995,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1,Bajo
Myst,DS,2007,Adventure,Midway Games,0.09,0.0,0.0,0.01,0.1,Bajo
Little Battlers eXperience W,3DS,2013,Role-Playing,Level 5,0.0,0.0,0.1,0.0,0.1,Bajo
Riviera: The Promised Land,GBA,2004,Role-Playing,Sting,0.07,0.03,0.0,0.0,0.1,Bajo
Risen 3: Titan Lords,PS3,2014,Role-Playing,Deep Silver,0.02,0.06,0.0,0.02,0.1,Bajo
Top Gun: Combat Zones,GBA,2004,Simulation,Mastiff,0.07,0.03,0.0,0.0,0.1,Bajo
Bujingai: The Forsaken City,PS2,2003,Fighting,505 Games,0.05,0.04,0.0,0.01,0.1,Bajo
Doko Demo Issho,PSP,2004,Misc,Sony Computer Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Alvin and the Chipmunks: The Squeakquel,Wii,2009,Misc,Majesco Entertainment,0.09,0.0,0.0,0.01,0.1,Bajo
The Story of Noah's Ark,DS,2010,Action,SouthPeak Games,0.1,0.0,0.0,0.01,0.1,Bajo
Brooktown High: Senior Year,PSP,2007,Simulation,Konami Digital Entertainment,0.09,0.0,0.0,0.01,0.1,Bajo
Astro Boy: The Video Game,DS,2009,Action,D3Publisher,0.09,0.0,0.0,0.01,0.1,Bajo
Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.04,0.05,0.0,0.01,0.1,Bajo
Beyond Good & Evil,XB,2003,Adventure,Ubisoft,0.08,0.02,0.0,0.0,0.1,Bajo
Blitz: The League II,X360,2008,Sports,Midway Games,0.08,0.01,0.0,0.01,0.1,Bajo
Death By Degrees,PS2,2005,Action,Sony Computer Entertainment,0.05,0.04,0.0,0.01,0.1,Bajo
Vandal Hearts II,PS,1999,Strategy,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.1,Bajo
Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,1995,Fighting,Atlus,0.0,0.0,0.1,0.01,0.1,Bajo
Samurai Warriors Chronicles 2nd,3DS,2012,Action,Ubisoft Annecy,0.0,0.0,0.1,0.0,0.1,Bajo
Medal of Honor: Vanguard,Wii,2007,Shooter,Electronic Arts,0.06,0.03,0.0,0.01,0.1,Bajo
Toaru Majutsu no Index,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.1,0.0,0.1,Bajo
Dora's Cooking Club,DS,2010,Misc,Take-Two Interactive,0.08,0.01,0.0,0.01,0.1,Bajo
ESA Game Pack,PS3,2010,Misc,Sony Computer Entertainment,0.09,0.0,0.0,0.01,0.1,Bajo
America's Next Top Model,DS,2008,Action,Eidos Interactive,0.1,0.0,0.0,0.01,0.1,Bajo
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0.0,0.01,0.09,0.0,0.1,Bajo
Uta no Prince-Sama: Music,PSP,2011,Misc,Broccoli,0.0,0.0,0.1,0.0,0.1,Bajo
UNO / Skip-Bo / UNO Freefall,DS,2006,Misc,Zoo Digital Publishing,0.1,0.0,0.0,0.01,0.1,Bajo
Culdcept DS,DS,2008,Strategy,Sega,0.0,0.0,0.1,0.0,0.1,Bajo
Colin McRae Rally 04,XB,2004,Racing,Codemasters,0.08,0.02,0.0,0.0,0.1,Bajo
Monster Jam: Maximum Destruction,GBA,2002,Racing,Ubisoft,0.07,0.03,0.0,0.0,0.1,Bajo
The King of Fighters: Dream Match 1999,DC,1999,Fighting,SNK,0.0,0.0,0.1,0.0,0.1,Bajo
FIFA Street,XB,2005,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1,Bajo
Truth or Lies,Wii,2010,Misc,THQ,0.04,0.05,0.0,0.01,0.1,Bajo
Weiss Schwarz Portable,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Kirarin * Revolution: Mezase! Idol Queen,DS,2007,Simulation,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Dungeons & Dragons Tactics,PSP,2007,Strategy,Atari,0.09,0.0,0.0,0.01,0.1,Bajo
X-Men: Children of the Atom,PS,1998,Fighting,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1,Bajo
Hot Wheels: Stunt Track Challenge,XB,2004,Racing,THQ,0.08,0.02,0.0,0.0,0.1,Bajo
Dora & Kai-Lan's Pet Shelter,DS,2011,Strategy,Take-Two Interactive,0.08,0.01,0.0,0.01,0.1,Bajo
DJ Max Fever,PSP,2009,Misc,PM Studios,0.09,0.0,0.0,0.01,0.1,Bajo
Math Blaster in the Prime Adventure,DS,2009,Misc,Majesco Entertainment,0.09,0.0,0.0,0.01,0.1,Bajo
Football Director DS,DS,2008,Sports,Pinnacle,0.0,0.1,0.0,0.0,0.1,Bajo
Shellshock,PS,1995,Action,Core Design Ltd.,0.06,0.04,0.0,0.01,0.1,Bajo
Blue Stinger,DC,1999,Adventure,Activision,0.0,0.0,0.1,0.0,0.1,Bajo
Yggdra Union: We'll Never Fight Alone,PSP,2008,Role-Playing,Sting,0.05,0.0,0.04,0.01,0.1,Bajo
The Destiny of Zorro,Wii,2009,Action,505 Games,0.1,0.0,0.0,0.01,0.1,Bajo
Hot Wheels Ultimate Racing,PSP,2007,Action,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Capcom vs. SNK 2 EO,XB,2003,Fighting,Capcom,0.08,0.02,0.0,0.0,0.1,Bajo
Inazuma Eleven GO Strikers 2013,Wii,2012,Role-Playing,Level 5,0.0,0.0,0.1,0.0,0.1,Bajo
Metal Gear Solid HD Edition,PS3,2011,Action,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Hunter: The Reckoning,GC,2002,Action,Virgin Interactive,0.08,0.02,0.0,0.0,0.1,Bajo
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,2007,Misc,Paon,0.0,0.0,0.1,0.0,0.1,Bajo
Urban Chaos,PS,1999,Action,Eidos Interactive,0.06,0.04,0.0,0.01,0.1,Bajo
Creeper World 3: Arc Eternal,Wii,2009,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Monkey Mischief! Party Time,Wii,2008,Misc,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Draglade,DS,2007,Fighting,505 Games,0.09,0.0,0.0,0.01,0.1,Bajo
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,DS,2007,Misc,Shogakukan,0.0,0.0,0.1,0.0,0.1,Bajo
Water Sports,Wii,2009,Action,Avanquest,0.05,0.04,0.0,0.01,0.1,Bajo
Freaky Flyers,PS2,2003,Racing,Midway Games,0.05,0.04,0.0,0.01,0.1,Bajo
Baten Kaitos Origins,GC,2006,Role-Playing,Unknown,0.06,0.02,0.02,0.0,0.1,Bajo
E·O·E: Eve of Extinction,PS2,2002,Fighting,Eidos Interactive,0.04,0.03,0.02,0.01,0.1,Bajo
Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.03,0.06,0.0,0.01,0.1,Bajo
Dark Summit,XB,2001,Sports,THQ,0.08,0.02,0.0,0.0,0.1,Bajo
Penguin no Mondai: The World,DS,2010,Adventure,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Yaiba: Ninja Gaiden Z,PS3,2014,Action,Tecmo Koei,0.05,0.04,0.0,0.02,0.1,Bajo
Flushed Away,DS,2006,Platform,D3Publisher,0.09,0.0,0.0,0.01,0.1,Bajo
Surf's Up,X360,2007,Sports,Ubisoft,0.09,0.0,0.0,0.01,0.1,Bajo
Hakuouki Portable,PSP,2009,Adventure,Idea Factory,0.0,0.0,0.1,0.0,0.1,Bajo
NHL 2004,GC,2003,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1,Bajo
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,2009,Role-Playing,Bethesda Softworks,0.09,0.01,0.0,0.01,0.1,Bajo
Cabela's Adventure Camp,X360,2011,Misc,Activision,0.07,0.02,0.0,0.01,0.1,Bajo
KORG DS-10 Synthesizer Plus,DS,2009,Misc,AQ Interactive,0.08,0.0,0.02,0.01,0.1,Bajo
World Snooker Championship 2007,PS3,2007,Sports,Sega,0.0,0.1,0.0,0.0,0.1,Bajo
X-Men: The Official Game,XB,2006,Action,Activision,0.08,0.02,0.0,0.0,0.1,Bajo
RLH: Run Like Hell,PS2,2002,Shooter,Virgin Interactive,0.05,0.04,0.0,0.01,0.1,Bajo
Digimon Adventure,PSP,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Doom 3,PC,2004,Shooter,Activision,0.05,0.04,0.0,0.01,0.1,Bajo
The Ant Bully,PS2,2006,Platform,Midway Games,0.05,0.04,0.0,0.01,0.1,Bajo
Conflict: Global Terror,XB,2005,Shooter,SCi,0.08,0.02,0.0,0.0,0.1,Bajo
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0.0,0.0,0.1,Bajo
Monster Rancher EVO,PS2,2005,Role-Playing,Tecmo Koei,0.02,0.02,0.05,0.01,0.1,Bajo
Project Hacker: Kakusei,DS,2006,Action,Nintendo,0.0,0.0,0.1,0.0,0.1,Bajo
Pajama Sam: Don't Fear The Dark,Wii,2008,Adventure,Atari,0.09,0.0,0.0,0.01,0.1,Bajo
GRID Autosport,X360,2014,Racing,Codemasters,0.03,0.06,0.0,0.01,0.1,Bajo
World Series of Poker 2008: Battle for the Bracelets,PS3,2007,Misc,Activision,0.08,0.01,0.0,0.01,0.1,Bajo
Wasteland 2,PS4,2015,Role-Playing,Deep Silver,0.07,0.0,0.01,0.02,0.1,Bajo
Guitar Hero: Van Halen,PS2,2009,Misc,Activision,0.05,0.04,0.0,0.01,0.1,Bajo
Olympic Summer Games: Atlanta 1996,PS,1996,Sports,U.S. Gold,0.06,0.04,0.0,0.01,0.1,Bajo
Little League World Series Baseball 2008,Wii,2008,Sports,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Disney's The Haunted Mansion,GC,2003,Platform,Take-Two Interactive,0.08,0.02,0.0,0.0,0.1,Bajo
Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,Fighting,Capcom,0.0,0.0,0.1,0.0,0.1,Bajo
Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,505 Games,0.08,0.01,0.0,0.01,0.1,Bajo
Darius Gaiden,SAT,1995,Shooter,Acclaim Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Beach Spikers: Virtua Beach Volleyball,GC,2002,Sports,Sega,0.08,0.02,0.0,0.0,0.1,Bajo
Total War: WARHAMMER,PC,2016,Strategy,Sega,0.0,0.1,0.0,0.01,0.1,Bajo
Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,0.07,0.02,0.0,0.02,0.1,Bajo
You Don't Know Jack: Mock 2,PS,2000,Misc,Vivendi Games,0.06,0.04,0.0,0.01,0.1,Bajo
Blue Dragon: Awakened Shadow,DS,2009,Role-Playing,Namco Bandai Games,0.06,0.0,0.03,0.0,0.1,Bajo
3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,Bajo
[Prototype 2],PC,2012,Action,Activision,0.07,0.02,0.0,0.01,0.1,Bajo
NASCAR The Game: Inside Line,X360,2012,Racing,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Sudoku Mania,DS,2006,Puzzle,Zoo Digital Publishing,0.09,0.0,0.0,0.01,0.1,Bajo
Blades of Time,PS3,2012,Action,Konami Digital Entertainment,0.04,0.03,0.01,0.01,0.1,Bajo
Rolling Stone: Drum King,Wii,2009,Misc,505 Games,0.09,0.0,0.0,0.01,0.1,Bajo
Jade Cocoon 2,PS2,2001,Role-Playing,Ubisoft,0.05,0.04,0.0,0.01,0.1,Bajo
Lord of Apocalypse,PSV,2011,Role-Playing,Square Enix,0.0,0.0,0.1,0.0,0.1,Bajo
Bejeweled Twist,DS,2010,Puzzle,PopCap Games,0.0,0.09,0.0,0.01,0.1,Bajo
Rock Band 3,DS,2010,Misc,MTV Games,0.09,0.01,0.0,0.01,0.1,Bajo
Kabushiki Baibai Trainer: Kabutore!,DS,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1,Bajo
Sword & Sorcery,SAT,1996,Role-Playing,Micro Cabin,0.0,0.0,0.1,0.0,0.1,Bajo
Van Helsing,GBA,2004,Action,Activision,0.07,0.03,0.0,0.0,0.1,Bajo
NFL Tour,X360,2008,Sports,Electronic Arts,0.09,0.0,0.0,0.01,0.1,Bajo
Bee Movie Game,PS2,2007,Action,Activision,0.05,0.04,0.0,0.01,0.1,Bajo
NBA Live 16,XOne,2015,Sports,Electronic Arts,0.08,0.01,0.0,0.01,0.1,Bajo
Spider-Man: Web of Shadows,DS,2008,Action,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Bullet Witch,X360,2006,Shooter,Atari,0.07,0.01,0.02,0.01,0.1,Bajo
USA Today Puzzle Craze,DS,2009,Puzzle,Destineer,0.09,0.0,0.0,0.01,0.1,Bajo
Machi-Ing Maker 3 x Tousouchuu,PSP,2010,Simulation,D3Publisher,0.0,0.0,0.1,0.0,0.1,Bajo
Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.08,0.02,0.0,0.0,0.1,Bajo
SNK vs. Capcom: SVC Chaos,XB,2004,Fighting,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1,Bajo
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,2005,Platform,Global Star,0.05,0.04,0.0,0.01,0.1,Bajo
Choujikuu Yousai Macross: Ai Oboete Imasu ka,SAT,1997,Shooter,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Vanishing Point,PS,2001,Racing,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1,Bajo
SCORE International Baja 1000: The Official Game,Wii,2008,Racing,Activision,0.09,0.0,0.0,0.01,0.1,Bajo
Dragonseeds,PS,1998,Action,Jaleco,0.03,0.02,0.04,0.01,0.1,Bajo
The Bard's Tale,XB,2004,Role-Playing,Ubisoft,0.08,0.02,0.0,0.0,0.1,Bajo
Opoona,Wii,2007,Role-Playing,Tecmo Koei,0.08,0.0,0.01,0.01,0.1,Bajo
Big League Sports,Wii,2008,Sports,Activision,0.09,0.01,0.0,0.01,0.1,Bajo
nail'd,X360,2010,Racing,Deep Silver,0.08,0.02,0.0,0.01,0.1,Bajo
Nodame Cantabile,DS,2007,Misc,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,Bajo
Alien Hominid,PS2,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0.0,0.01,0.1,Bajo
Record of Agarest War Zero,X360,2010,Strategy,Compile Heart,0.09,0.0,0.0,0.01,0.1,Bajo
L'Aigle de Guerre,GBA,2001,Strategy,Nintendo,0.0,0.0,0.1,0.0,0.1,Bajo
Jeopardy!,N64,1998,Misc,GameTek,0.08,0.02,0.0,0.0,0.1,Bajo
Disney's Donald Duck: Goin' Quackers,N64,2000,Platform,Ubisoft,0.08,0.02,0.0,0.0,0.1,Bajo
Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,THQ,0.08,0.02,0.0,0.0,0.1,Bajo
Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0.0,0.05,0.01,0.1,Bajo
Virtual Pool 64,N64,1998,Sports,Crave Entertainment,0.08,0.02,0.0,0.0,0.1,Bajo
Indy Racing 2000,N64,2000,Racing,Infogrames,0.08,0.02,0.0,0.0,0.1,Bajo
